longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-0.11056,51.50434,2,1,2,6,20,13.0,4.0,1.0,1,1.0,1,11,Morning,0.5,1,0,2,1
-2.63568,51.66199,4,1,7,6,60,13.0,4.0,1.0,1,1.0,2,8,Morning,0.25,1,0,4,1
-3.07734,53.38008,2,1,6,6,30,0.0,,1.0,1,1.0,1,10,Afternoon,0.5,0,0,1,0
-0.61093,53.78869,2,1,2,6,50,0.0,,1.0,1,1.0,2,1,Morning,0.5,1,0,4,1
-0.33969,51.56806,2,1,2,6,20,13.0,4.0,1.0,1,1.0,1,1,Afternoon,0.5,1,0,4,3
-3.02257,53.339,1,1,1,9,50,0.0,,1.0,1,2.0,2,3,Morning,1.0,0,0,4,0
-4.38778,52.04983,1,1,6,6,30,0.0,,4.0,1,1.0,2,1,Afternoon,1.0,0,1,4,0
0.89825,51.41503,1,1,3,6,30,13.0,4.0,6.0,1,1.0,2,10,Evening,1.0,1,0,1,1
-2.21923,53.16663,2,1,2,6,30,0.0,,1.0,1,1.0,1,7,Afternoon,0.5,0,0,4,0
0.16973,52.22632,1,1,4,6,30,13.0,4.0,1.0,1,,1,5,Afternoon,1.0,1,0,1,1
-4.14999,50.39554,1,1,4,6,30,0.0,,1.0,2,2.0,1,4,Afternoon,1.0,1,0,2,2
0.06066,51.54885,2,1,3,3,20,19.0,4.0,1.0,1,1.0,1,10,Afternoon,0.5,1,0,1,1
-0.15995,51.411,1,1,5,6,20,,9.0,1.0,1,1.0,1,8,Evening,1.0,1,0,1,4
-1.1239,53.51196,2,1,4,6,40,18.0,4.0,4.0,2,2.0,1,10,Evening,0.5,1,0,1,1
-2.35961,53.30187,1,1,1,6,30,13.0,4.0,4.0,1,1.0,1,9,Night,1.0,1,0,1,1
-0.10397,52.22902,2,1,2,1,50,0.0,,1.0,1,1.0,2,9,Morning,0.5,1,0,4,4
-1.94938,52.4763,2,1,6,6,30,13.0,2.0,1.0,1,1.0,1,6,Afternoon,0.5,1,0,3,1
-3.82133,50.80104,2,1,3,6,30,0.0,,1.0,1,1.0,2,1,Afternoon,0.5,1,0,4,1
0.26852,51.42901,2,1,3,3,70,0.0,,4.0,2,2.0,2,3,Evening,0.5,0,1,4,0
-1.56262,53.76427,1,1,7,6,30,16.0,2.0,4.0,1,1.0,1,1,Evening,1.0,1,0,1,4
0.01309,51.55599,2,1,4,9,30,13.0,4.0,1.0,9,9.0,1,5,Morning,0.5,1,0,2,1
-0.15909,51.53641,1,1,2,3,20,13.0,4.0,1.0,1,1.0,1,6,Morning,1.0,1,0,4,1
-0.36145,53.74329,3,1,3,6,30,13.0,4.0,1.0,1,1.0,1,2,Morning,0.3333333333333333,1,0,1,4
-2.11705,53.45514,2,1,4,6,30,16.0,,1.0,9,,1,4,Afternoon,0.5,1,0,1,1
-2.475,52.01617,1,1,2,1,60,,4.0,4.0,2,2.0,2,1,Afternoon,1.0,1,0,4,4
